bvdid;postcode
DE7330000658;
DE7150000030;67056
DE2010198197;10785
DE6130022168;63450
DE5050397210;40476
DE5110000576;45128
DE8190216927;91074
DE5050001329;40551
DE7050000100;69120
DE8110066557;61352
DE7330004473;70173
DE5110206552;45141
DE5250167797;45131
DE4230027718;32427
DE2190004116;30625
DE6070370506;60327
DE6070394149;60486
DE7210042326;77656
DE5110000996;45143
DE5310031297;42929
DE5050000137;40476
DE2370010537;26122
DE7110258204;76185
DE7190001137;76879
DE3190358583;18059
DE6290016532;65824
DE8170001557;81737
DE2150002716;20097
DE7370080590;89522
DE8330176530;82024
DE8330261794;85774
DE8330132690;82152
DE6210204018;63263
DE8170128167;80339
DE5270001101;41460
DE7330875820;70376
DE2151009751;22297
DE8130000325;85080
DE8010005950;63801
DE7330418328;71336
DE7330309142;71139
DE8290025313;82131
DE7170013574;68159
DE6250157946;65205
DE4010006291;33649
DE2150033887;20355
DE6290015517;61118
DE8190042266;90429
DE4250001266;48143
DE2050224523;49429
DE4130003046;33332
DE6070281048;60326
DE2010494044;10245
DE8170001048;81671
DE6070471749;60549
DE6070227787;65428
DE5330169218;42859
DE5190574340;50823
DE7170002705;68169
DE7110024174;76185
DE4050331150;44787
DE6070382987;60486
DE7290139996;66440
DE8030093830;86167
DE2150039493;20095
DE8330297730;85774
DE5190351106;50679
DE7330049677;70629
DE2150271275;22335
DE5190519503;50668
DE3090132363;99087
DE4010176713;33775
DE7270000251;72555
DE7050000584;69115
DE8110000764;95111
DE8330051594;81673
DE7290001625;66763
DE2310097657;49124
DE6070009834;60547
DE8190224070;92204
DE5190001430;50321
DE2011245269;13407
DE8150006760;86807
DE7330747068;70563
DE8270006609;89264
DE6150010556;34212
DE6250182785;65197
DE6190123064;65462
DE5110283267;81739
DE7290117180;66333
DE8170019764;81671
DE3330162987;40472
DE5070007903;47053
DE5350014482;54424
DE2310188753;49090
DE2010208815;10179
DE4190096140;58675
DE3150201779;04329
DE7110001310;76187
DE5150000170;51674
DE4070236294;44263
DE7330465418;71034
DE8030244355;86150
DE2150007285;20095
DE2150024313;20457
DE6250069564;65201
DE2030086882;38100
DE5410247061;42119
DE5070079785;47051
DE7330452267;70565
DE2010085386;10829
DE2130001177;38640
DE8030001461;86150
DE8270001073;89079
DE5030000762;53721
DE5190001320;50670
DE7170188303;68161
DE2190453003;30519
DE5050552342;40468
DE8170839014;81829
DE5190109376;50226
DE8270003300;89079
DE5070007901;47053
DE3070018545;01069
DE2230046008;24143
DE6070479212;60486
DE3250000218;15890
DE8270002029;89077
DE7110000683;76137
DE2190130153;30855
DE2190553348;30453
DE8170034392;81539
DE2190400012;30159
DE7330542703;70565
DE5030003677;53721
DE2250183732;49716
DE2310000278;49080
DE5270000712;41460
DE2151190501;20095
DE6150393498;34131
DE4270001515;59969
DE6050188890;64293
DE8310000712;97080
DE3030134835;09232
DE7230150149;75228
DE2370013704;26215
DE7330575998;70173
DE2150371053;20537
DE2010378297;10829
DE7370156658;73457
DE2050041564;28329
DE6250073872;65201
DE7230244677;71299
DE8270000424;88457
DE7190043115;76829
DE5050010412;40472
DE2190546516;30419
DE4230077304;32423
DE8170649508;81925
DE7330384529;71139
DE8190659932;92242
DE5410214134;42281
DE7230233870;75177
DE4110128428;58093
DE2010340990;10115
DE8330258702;85737
DE2011506221;10785
DE7010128862;79111
DE6190083700;55268
DE8190339224;90429
DE8250036769;83512
DE5030069366;12205
DE2290005515;24782
DE5170093033;56070
DE4250167029;48653
DE2010615704;10115
DE5190697383;50769
DE4050007421;44789
DE6250115859;65205
DE5190009818;50739
DE4210001019;58513
DE5010000218;52224
DE2010124015;10719
DE6210252454;63303
DE3410000012;07739
DE7210000288;77704
DE8170610709;81679
DE3330001951;19053
DE2010018655;12359
DE3330107435;19055
DE5170019154;56068
DE2010108416;12103
DE5230015751;41352
DE8170513027;81671
DE8230210270;93073
DE7110088839;76185
DE4270069487;59929
DE5010031765;52068
DE2390228453;22880
DE6070571756;60486
DE2010859375;10117
DE2090052055;22297
DE8150005372;88161
DE8170855273;81829
DE3150359014;04435
DE4330028985;57462
DE2310004607;49086
DE8190103008;90471
DE5330065329;40764
DE2150043909;22305
DE5230334960;47906
DE2390245578;22941
DE5010005859;52428
DE4250003300;48432
DE6250148842;65189
DE5190552960;50735
DE7170064744;68307
DE2151001735;20457
DE6210220100;63069
DE6010130071;55469
DE3130242909;06258
DE2170048076;31855
DE7070006996;74076
DE2270014128;23554
DE4070483701;44269
DE5190753493;50670
DE5410017191;42281
DE2250078925;26892
DE7330322806;72622
DE8250295477;85586
DE2110144744;37079
DE8030000026;86153
DE8250000209;83301
DE8030177570;86647
DE7330908784;68229
DE5210287350;47807
DE8350095803;85356
DE8330000579;85640
DE8030000405;86316
DE5150002594;51643
DE5050283004;40882
DE3170012310;39340
DE4110028552;58093
DE7330081664;70372
DE7170172387;68199
DE7050304569;77654
DE7330091495;70565
DE6190007063;64546
DE3030166895;01067
DE2310159457;49201
DE4330000973;57223
DE6150292694;34131
DE5190420125;50126
DE4250356992;48599
DE6090058439;63628
DE8330384611;85630
DE2410005852;49824
DE8270199785;89231
DE8170418933;16303
DE8170634222;80997
DE8310287012;97076
DE2190161636;40597
DE6070465764;60486
DE2150845289;22761
DE7290010190;66424
DE6070280028;65760
DE2390044989;22926
DE2010072592;22457
DE5290000231;56588
DE8250006489;85560
DE2190365367;30169
DE2150836879;22419
DE7170239788;68309
DE8170436949;85276
DE2010606695;13507
DE4010036482;33659
DE5290000260;56567
DE2290009851;24589
DE5330001681;40764
DE2151369527;20359
DE6290001281;61352
DE8070000108;95326
DE5190003870;50679
DE6150098010;34117
DE7050005120;76646
DE7170000563;68199
DE2390260419;25462
DE5030366328;53757
DE7290008114;66280
DE8310116008;97828
DE5210000797;47506
DE6050143212;64295
DE4250426539;48282
DE2390048905;25355
DE5050114238;40233
DE7070027932;74653
DE8190238732;90571
DE5210166657;47804
DE5110288602;45138
DE6290084186;65824
DE8210042977;88255
DE5270150898;41542
DE7110109559;76133
DE5070132105;47137
DE4050184982;45711
DE8070160760;96317
DE8170001953;81829
DE8270001509;89359
DE7330034760;70736
DE6290134421;65824
DE2190064882;31547
DE5050315884;40549
DE6250036703;65201
DE5410082673;42103
DE5050314262;40882
DE3070011247;01705
DE4130003248;59302
DE8230178143;93413
DE2150033803;20097
DE2190074730;30659
DE8230012084;93128
DE7010001556;79618
DE3330189011;19053
DE3030010151;09116
DE3170016325;39104
DE2310001150;49205
DE5210007411;47807
DE8130002902;86653
DE2310035614;49074
DE8190030376;90571
DE5050083451;40724
DE2150051045;22880
DE8310001720;97486
DE5330081690;60596
DE8110086193;95183
DE8270039268;89281
DE4250403255;59320
DE5010368714;52078
DE2250009129;26871
DE7370014281;73479
DE7330000044;71034
DE8230034438;93055
DE6250002357;65510
DE2390012237;25421
DE4250250868;48155
DE8330327310;85609
DE7330357884;70569
DE2011618860;13407
DE4070262441;44579
DE7330582336;71111
DE5050250585;40212
DE7350001270;78166
DE8270014763;88400
DE2370117971;26389
DE5230010582;41065
DE7170188807;68526
DE4050012574;45699
DE2190010153;30179
DE2310068271;49090
DE2150028161;21220
DE4310000835;58256
DE4050278351;44649
DE8190491020;91522
DE2050366792;27711
DE8330281438;85748
DE7210052166;77972
DE8270006417;89073
DE2030099068;38118
DE5010360116;52511
DE3070360833;01067
DE7290006081;66359
DE7250069211;66482
DE2090050656;24939
DE7370089253;73525
DE5030289122;53229
DE7370139595;73479
DE4010011756;33758
DE2290087675;25358
DE8310217408;97437
DE7030080692;73033
DE4050330436;45768
DE8190126108;91154
